Aug 09 11:31:35 2024> 0xA3a1;0.00a2;0.00a3;0.00a4;0.00
Aug 09 11:31:36 2024> 0xA3a1;0.00a2;0.00a3;0.00a4;0.00
Aug 09 11:31:37 2024> 0xA3a1;0.00a2;0.00a3;0.00a4;0.00
Aug 09 11:31:38 2024> 0xA3a1;0.00a2;0.00a3;0.00a4;0.00
Aug 09 11:31:39 2024> 0xA3a1;0.00a2;0.00a3;0.00a4;0.00
Aug 09 11:31:40 2024> 0xA3a1;0.00a2;0.00a3;0.00a4;0.00
Aug 09 11:31:41 2024> 0xA3a1;0.00a2;0.00a3;0.00a4;0.00
Aug 09 11:31:42 2024> 0xA3a1;0.00a2;0.00a3;0.00a4;0.00
Aug 09 11:31:43 2024> 0xA3a1;0.00a2;0.00a3;0.00a4;0.00
Aug 09 11:31:44 2024> 0xA3a1;0.00a2;0.00a3;0.00a4;0.00
Aug 09 11:31:45 2024> 0xA3a1;0.00a2;0.00a3;0.00a4;0.00
Aug 09 11:31:46 2024> 0xA3a1;0.00a2;0.00a3;0.00a4;0.00
Aug 09 11:31:47 2024> 0xA3a1;0.00a2;0.00a3;2.00a4;0.00
Aug 09 11:31:48 2024> 0xA3a1;0.00a2;0.00a3;2.00a4;0.00
Aug 09 11:31:49 2024> 0xA3a1;0.00a2;0.00a3;2.00a4;0.00
Aug 09 11:31:51 2024> 0xA3a1;0.00a2;0.00a3;2.00a4;0.00
Aug 09 11:31:52 2024> 0xA3a1;0.00a2;0.00a3;2.00a4;0.00
Aug 09 11:31:53 2024> 0xA3a1;0.00a2;0.00a3;2.00a4;0.00
Aug 09 11:31:54 2024> 0xA3a1;0.00a2;0.00a3;2.00a4;0.00
Aug 09 11:31:55 2024> 0xA3a1;0.00a2;0.00a3;2.00a4;0.00
Aug 09 11:31:56 2024> 0xA3a1;0.00a2;0.00a3;2.00a4;0.00
Aug 09 11:31:57 2024> 0xA3a1;0.00a2;0.00a3;2.00a4;0.00
Aug 09 11:31:58 2024> 0xA3a1;0.00a2;0.00a3;2.00a4;0.00
